user_id,brand_id,score,rank,created_at
18,51,-0.11785271018743515,3,2025-07-18 01:16:23.389219
18,34,-0.1179465800523758,4,2025-07-18 01:16:23.389220
18,86,-0.11802184581756592,5,2025-07-18 01:16:23.389221
19,12,0.8792394399642944,1,2025-07-18 01:16:23.389444
19,34,-0.12587448954582214,2,2025-07-18 01:16:23.389444
19,69,-0.12648816406726837,3,2025-07-18 01:16:23.389445
19,51,-0.1267279088497162,4,2025-07-18 01:16:23.389446
19,65,-0.12689904868602753,5,2025-07-18 01:16:23.389447
20,12,0.864484965801239,1,2025-07-18 01:16:23.389673
20,15,-0.14089268445968628,2,2025-07-18 01:16:23.389674
20,100,-0.14136435091495514,3,2025-07-18 01:16:23.389675
20,10,-0.14172157645225525,4,2025-07-18 01:16:23.389675
20,34,-0.14197230339050293,5,2025-07-18 01:16:23.389676
